id;case_1_1;case_1_2;case_1_3;case_2_1;case_2_2;case_2_3;case_3_1;case_3_2;case_3_3;case_4_1;case_4_2;case_4_3;case_5_1;case_5_2;case_5_3;case_6_1;case_6_2;case_6_3;case_7_1;case_7_2;case_7_3;case_8_1;case_8_2;case_8_3;case_9_1;case_9_2;case_9_3;emo;rat;group;sex;age;income;isworking;edu;car;city;city_size;time_12;time_34;time_56;time_78;time_9;month;year
109;6;6;1;4;4;1;4;4;1;3;3;6;6;6;1;1;1;6;3;3;1;1;1;6;1;4;6;NA;1;2;0;22;1;0;NA;NA;Санкт-Петербург;5392992;55124;1105925;74617;43018;94415;11;2019
110;4;4;3;4;3;3;5;5;3;2;3;3;5;4;4;6;4;3;4;3;2;2;3;4;5;4;4;NA;1;2;1;19;1;0;NA;NA;Иркутск;623479;56521;68083;43173;84249;25181;11;2019
111;6;6;6;1;1;2;6;6;6;1;1;2;6;6;6;1;1;1;6;6;6;6;6;6;5;5;4;NA;1;2;1;37;5;1;NA;NA;NA;NA;151718;117884;94570;86100;66929;11;2019
112;6;6;1;5;4;2;6;6;1;5;6;6;4;3;1;1;1;3;4;4;2;5;4;6;1;1;1;1;NA;3;0;16;1;0;NA;NA;NA;NA;135392;74533;209371;125128;57079;11;2019
113;6;6;1;6;4;2;1;4;1;1;1;6;6;6;2;1;1;6;6;5;2;1;1;6;6;1;1;1;NA;3;0;20;2;1;NA;NA;Санкт-Петербург;5392992;71967;87645;45530;50231;43572;11;2019
114;5;1;1;6;2;2;5;2;2;3;6;6;6;6;4;4;1;1;4;4;2;4;6;2;5;6;2;NA;1;2;0;31;2;1;NA;NA;Челябинск;1195446;52759;60365;51698;116069;21195;11;2019
115;6;2;1;1;4;2;6;4;2;1;5;6;6;6;6;1;1;1;6;4;1;3;4;6;6;5;2;1;NA;3;0;22;2;1;NA;NA;Москва;12692466;134139;347758;71216;149839;37907;11;2019
116;1;3;4;1;3;4;4;4;1;1;1;6;6;1;1;1;1;6;4;4;1;1;1;6;6;6;1;0;0;1;0;26;1;1;NA;NA;Еманжелинск;28217;157510;111523;111132;160430;63920;11;2019
117;5;4;4;6;5;5;3;3;3;4;4;4;3;2;2;3;1;2;2;3;3;3;5;5;4;4;4;NA;1;2;1;56;3;0;NA;NA;Москва;12692466;23764;7944;12817;16591;5488;11;2019
118;6;5;3;6;3;4;6;3;1;3;1;1;6;5;4;2;3;5;4;4;2;3;3;3;6;6;4;1;NA;3;0;29;2;1;NA;NA;Санкт-Петербург;5392992;115735;81477;120801;80677;47774;12;2019
119;6;6;3;3;3;3;1;1;1;1;2;5;6;6;3;1;1;5;6;5;1;1;2;3;6;6;4;NA;1;2;0;30;3;0;NA;NA;Челябинск;1195446;101976;252549;71318;70658;27538;12;2019
120;6;6;2;1;1;1;6;5;1;2;4;6;6;6;1;1;1;5;6;4;1;5;6;5;4;4;3;1;NA;3;0;27;2;1;NA;NA;Челябинск;1195446;52964;104231;43927;63580;46624;1;2020
121;3;3;3;6;4;2;6;6;2;6;6;6;6;6;4;1;1;4;5;4;3;6;6;5;6;6;2;1;NA;3;0;37;3;1;NA;NA;Челябинск;1195446;22875;42590;24789;43576;38682;1;2020
122;4;2;3;5;4;3;5;5;3;4;4;4;6;4;3;2;3;3;5;2;1;6;4;2;5;5;4;NA;1;2;0;34;3;1;NA;NA;Челябинск;1195446;103101;45032;66424;67633;47816;1;2020
123;6;5;3;1;1;3;4;3;3;5;5;5;5;4;2;3;4;4;6;4;2;2;2;2;5;5;2;0;0;1;0;30;4;1;NA;NA;Челябинск;1195446;51128;73327;62601;642966;22720;1;2020
124;6;4;1;6;6;4;6;6;1;3;6;6;6;2;2;1;1;6;6;6;3;3;1;3;6;3;2;NA;1;2;0;35;2;1;NA;NA;Челябинск;1195446;160220;47055;288611;47720;41422;1;2020
125;6;4;3;6;4;2;6;6;5;2;4;5;5;3;3;2;2;2;6;6;4;1;1;2;3;5;3;NA;1;2;0;19;2;1;NA;NA;Челябинск;1195446;95752;71816;71202;56879;108179;1;2020
126;5;2;1;2;1;3;5;5;2;5;5;5;5;5;3;5;5;1;4;2;2;5;5;5;5;4;2;1;NA;3;0;37;4;1;NA;NA;Челябинск;1195446;79199;38137;43395;53351;51093;1;2020
127;6;6;1;6;5;2;6;5;1;1;3;6;6;4;1;1;2;6;6;6;1;5;5;5;5;5;2;0;0;1;0;24;2;1;NA;NA;Челябинск;1195446;56890;47265;45383;85551;27074;1;2020
128;6;6;1;1;1;4;6;6;1;1;6;6;5;5;1;1;1;6;6;1;1;5;1;3;6;4;1;NA;1;2;0;29;2;1;NA;NA;Екатеринбург;1483119;34402;30749;43672;51491;39329;1;2020
129;6;6;4;1;1;1;6;5;2;6;6;5;6;3;2;1;1;3;5;3;2;1;2;2;6;5;2;0;0;1;1;19;2;0;NA;NA;Москва;12692466;50064;95197;63922;69427;30430;1;2020
130;6;6;1;6;6;2;6;6;1;1;2;6;6;4;1;1;1;4;6;6;1;6;6;3;6;5;2;0;0;1;1;17;1;0;NA;NA;Москва;12692466;91313;74177;69135;37598;37837;1;2020
131;6;3;3;1;1;1;6;6;5;6;6;6;5;5;5;2;4;5;6;5;2;1;2;6;2;3;4;NA;1;2;1;17;1;0;NA;NA;Москва;12692466;61067;37029;88664;45725;30175;1;2020
132;5;5;3;5;5;2;4;3;3;3;4;5;6;6;4;1;1;3;6;6;2;5;5;4;2;2;5;0;0;1;1;19;1;0;NA;NA;Москва;12692466;65952;79632;49256;66529;79302;1;2020
133;6;5;1;1;1;1;6;6;1;6;6;6;6;2;1;1;1;5;2;4;1;2;2;2;4;2;3;0;0;1;0;23;4;1;NA;NA;Самара;1156644;63478;29914;73511;52302;41038;1;2020
134;6;6;6;1;1;5;1;1;1;6;6;6;1;1;4;6;6;5;6;4;2;6;6;3;6;6;4;NA;1;2;1;27;2;1;NA;NA;NA;NA;49557;74454;116765;48597;36389;1;2020
135;6;4;3;3;1;3;5;4;1;4;5;5;4;3;3;1;1;2;4;3;3;2;1;3;4;5;4;0;0;1;0;18;1;0;NA;NA;Чебоксары;495317;88885;134875;84495;60912;38497;1;2020
136;3;3;3;2;4;4;6;6;3;1;2;5;6;5;3;1;1;3;6;6;2;1;1;4;5;5;3;1;NA;3;0;20;5;0;NA;NA;Москва;12692466;53348;40246;75174;34966;20141;1;2020
137;1;1;1;1;1;4;1;1;1;6;6;6;3;2;1;6;6;6;1;1;1;6;6;6;6;6;1;0;0;1;1;20;5;1;NA;NA;Москва;12692466;39077;47455;51722;27307;27882;1;2020
138;4;2;1;6;3;2;4;2;2;6;6;6;4;2;2;3;3;5;2;2;3;2;1;5;5;5;3;0;0;1;1;20;3;1;NA;NA;Москва;12692466;61815;83900;93563;137080;76830;1;2020
139;6;6;2;5;4;1;6;5;1;2;3;6;6;6;2;2;3;5;2;6;1;6;6;1;6;6;3;0;0;1;1;24;2;1;NA;NA;NA;NA;103766;97024;121096;139524;59679;1;2020
140;2;3;6;6;6;3;6;6;4;6;6;6;6;6;4;1;1;2;6;6;2;6;6;6;6;6;6;0;0;1;1;21;1;0;NA;NA;Пенза;522317;64173;35713;35108;29590;19726;1;2020
141;6;5;2;6;6;5;6;5;3;1;6;6;6;6;5;1;2;2;5;3;1;4;5;6;6;6;5;1;NA;3;1;15;1;0;NA;NA;Дмитров ;68666;101963;141862;145506;113349;59158;1;2020
142;5;5;2;2;2;2;4;5;1;5;5;5;2;1;1;3;3;5;2;2;2;6;6;6;4;4;5;1;NA;3;1;24;3;1;NA;NA;Новосибирск;1618039;45926;59113;136042;46839;47282;1;2020
143;6;6;3;5;5;3;6;6;2;3;3;5;6;6;4;4;5;3;6;6;4;4;5;5;5;5;4;1;NA;3;1;17;1;0;NA;NA;Санкт-Петербург;5392992;66866;89777;150317;36046;42005;1;2020
144;6;4;3;6;4;4;6;3;1;6;6;5;6;6;5;4;6;6;6;6;3;3;3;3;6;4;4;1;NA;3;1;24;4;1;NA;NA;Москва;12692466;89621;45549;39905;52101;22344;1;2020
145;6;6;4;6;6;2;6;6;3;3;5;6;5;4;3;1;1;1;5;4;4;3;4;4;4;4;4;0;0;1;0;22;4;1;NA;NA;Москва;12692466;49456;65512;44592;55457;20040;1;2020
146;5;1;1;1;1;2;5;3;2;6;6;6;2;1;3;1;1;6;1;1;2;6;6;5;4;2;3;NA;1;2;0;20;1;0;NA;NA;NA;NA;78891;66219;63950;56674;37744;1;2020
147;6;3;3;5;2;3;6;3;2;1;5;5;2;3;3;1;3;3;5;4;3;1;1;3;5;3;3;1;NA;3;0;15;1;0;NA;NA;Москва;12692466;48888;57103;48367;85926;22749;1;2020
148;3;3;2;1;1;2;1;1;1;1;1;1;2;2;5;1;1;5;6;5;2;1;2;3;5;2;3;0;0;1;1;22;3;1;NA;NA;Воронеж;1054111;41208;32246;47128;71657;71073;1;2020
149;2;3;2;1;1;1;4;2;1;6;6;6;1;1;1;6;6;6;1;1;1;6;6;6;3;2;3;0;0;1;1;35;3;1;NA;NA;NA;NA;92449;148303;71082;105690;32329;1;2020
150;6;6;3;1;1;3;4;3;3;6;6;5;2;2;2;5;5;5;3;3;3;4;4;4;6;6;4;1;NA;3;0;25;3;1;NA;NA;Нижний Новгород;1253511;88841;57130;54995;62817;21104;1;2020
151;5;5;2;2;2;2;2;2;2;2;2;2;4;4;3;2;2;2;4;3;3;4;4;4;5;5;5;0;0;1;1;18;1;0;NA;NA;Москва;12692466;4331415;161931;31156;54519;58418;1;2020
152;6;6;1;5;2;3;6;6;2;2;5;6;6;5;5;1;1;5;2;2;2;2;2;5;6;6;1;1;NA;3;0;28;3;1;NA;NA;Москва;12692466;60261;68958;87606;67367;25993;1;2020
153;6;5;1;4;4;1;6;5;1;2;4;6;6;5;3;1;1;4;3;3;2;1;1;4;5;5;4;1;NA;3;0;20;1;0;NA;NA;Москва;12692466;53954;74974;63871;49283;64484;1;2020
154;6;5;3;2;2;2;1;2;4;5;5;6;2;5;3;1;2;2;4;1;2;3;5;6;1;2;5;1;NA;3;1;15;1;0;NA;NA;Санкт-Петербург;5392992;46919;31282;55722;37909;25450;1;2020
155;6;1;1;2;1;1;6;1;1;6;6;6;6;6;4;1;1;5;1;1;1;6;6;3;6;6;2;1;NA;3;0;24;1;1;NA;NA;Нижний Новгород;1253511;79433;51824;56866;108571;26353;1;2020
156;6;6;4;1;1;2;6;6;3;1;3;6;6;6;4;1;2;6;6;6;5;4;6;5;6;6;5;NA;1;2;0;19;1;0;NA;NA;Москва;12692466;40444;40445;33556;62574;15104;1;2020
157;6;1;2;1;1;1;6;6;3;6;6;1;3;1;1;1;3;4;3;1;1;6;6;6;1;1;2;0;0;1;0;17;1;0;NA;NA;Новомосковск;124787;55591;45315;57557;85277;26350;1;2020
158;5;4;2;5;5;5;5;6;3;2;5;5;5;4;3;2;3;3;5;2;2;2;1;1;5;5;3;1;NA;3;1;21;5;1;NA;NA;Санкт-Петербург;5392992;88032;116765;82849;52506;37828;1;2020
159;6;5;2;1;1;4;6;4;2;2;5;5;4;4;1;2;4;4;6;6;3;6;4;4;5;2;1;1;NA;3;0;20;1;0;NA;NA;Москва;12692466;102547;63795;78310;52091;149711;1;2020
160;6;6;3;5;5;3;5;5;2;4;5;5;5;5;3;3;3;5;5;5;3;4;4;5;4;4;3;1;NA;3;1;16;3;0;NA;NA;Екатеринбург;1483119;21863;37948;58921;34289;13378;1;2020
161;5;2;1;2;1;4;5;1;1;1;1;6;5;2;2;1;1;2;2;1;3;5;5;6;1;1;4;1;NA;3;1;24;3;1;NA;NA;Челябинск;1195446;48411;271814;50693;72646;34225;1;2020
162;6;1;1;1;1;1;6;4;1;1;4;6;6;6;6;1;1;1;6;4;1;6;1;1;2;1;2;NA;1;2;0;21;2;1;NA;NA;Уфа;1124226;60503;83361;37334;68845;34411;1;2020
163;6;5;1;1;1;1;6;6;2;4;2;1;6;6;3;1;2;5;5;3;1;2;2;5;6;6;4;NA;1;2;0;23;2;0;NA;NA;Львов;724713;41026;37473;71497;56100;20674;1;2020
164;3;2;1;1;1;2;6;4;4;4;5;5;3;3;4;3;4;4;1;2;4;2;2;5;3;3;2;0;0;1;1;18;4;0;NA;NA;Фрязино;59987;78521;72757;60430;101319;64274;1;2020
165;4;2;1;5;2;1;4;2;1;1;1;5;5;6;2;5;6;6;5;4;2;4;6;3;4;3;5;0;0;1;1;18;2;1;NA;NA;Махачкала;601286;145331;50831;57400;78200;65227;1;2020
166;6;6;3;2;2;5;2;2;2;1;3;6;6;6;2;1;1;4;6;4;2;5;4;4;5;5;3;0;0;1;0;19;1;0;NA;NA;Москва;12692466;43570;69724;54504;94580;29145;1;2020
167;6;5;1;1;3;6;6;6;1;3;6;5;6;6;2;1;1;5;6;6;2;6;6;3;6;6;2;NA;1;2;0;19;1;0;NA;NA;Тамбов;291663;98411;49879;60314;42993;27799;1;2020
168;5;3;2;2;1;1;2;2;5;3;5;6;5;5;3;2;3;3;4;4;2;1;2;5;5;6;2;0;0;1;0;19;1;0;NA;NA;Москва;12692466;80731;47118;80350;68435;38695;1;2020
169;6;1;1;6;3;3;6;6;1;1;6;6;4;1;1;1;6;4;6;1;1;6;6;4;6;6;1;NA;1;2;1;19;1;0;NA;NA;Москва;12692466;38732;53494;57255;38812;46168;1;2020
170;6;6;6;6;5;1;6;4;2;2;3;6;6;6;4;1;1;5;5;2;3;5;4;3;6;6;2;NA;1;2;0;18;1;1;NA;NA;Минск;2018281;52293;53871;51602;79463;34146;1;2020
171;6;4;4;6;4;1;5;4;6;6;6;5;5;4;2;6;5;2;1;1;1;2;4;5;2;3;1;1;NA;3;1;18;1;0;NA;NA;Луганск;403938;97988;89496;68629;68660;52135;1;2020
172;5;5;2;2;3;1;6;5;2;2;2;5;6;5;3;1;1;3;6;6;4;3;3;4;4;4;3;NA;1;2;1;17;1;1;NA;NA;Чебоксары;495317;81886;115698;74035;68441;45294;1;2020
173;5;1;2;6;1;2;5;1;1;2;6;6;6;1;2;1;5;6;6;1;2;2;5;3;5;1;2;0;0;1;0;21;3;1;NA;NA;Краснодар;918145;51473;47596;34866;59703;30479;1;2020
174;6;6;2;1;1;4;6;6;1;1;1;6;6;6;4;1;1;6;3;3;3;5;5;3;4;5;2;0;0;1;1;18;2;0;NA;NA;Москва;12692466;51169;53736;44286;74353;41412;1;2020
175;5;4;2;2;3;5;6;6;1;3;3;6;3;3;3;1;1;5;6;5;2;2;4;4;5;4;5;NA;1;2;1;18;1;0;NA;NA;NA;NA;52773;68856;79780;107103;30824;1;2020
176;6;5;2;2;2;3;5;5;2;4;4;6;5;4;2;2;2;3;2;2;2;2;2;5;2;2;2;NA;1;2;0;20;2;1;NA;NA;Елабуга ;73913;50182;73702;72427;643574;30251;1;2020
177;6;5;5;6;3;4;1;1;1;5;5;6;1;1;2;4;4;2;6;5;4;5;5;5;3;1;2;0;0;1;1;15;1;0;NA;NA;Новосибирск;1618039;79849;53529;63872;91946;30592;1;2020
178;6;3;2;1;1;3;6;4;2;4;4;4;6;5;2;2;4;5;6;6;1;5;5;3;6;6;2;0;0;1;0;22;1;0;NA;NA;Челябинск;1195446;113143;60000;79391;44920;32199;1;2020
179;4;3;2;1;1;1;5;1;2;3;6;6;4;2;2;3;5;5;2;2;4;6;4;3;4;4;6;NA;1;2;1;16;1;0;NA;NA;Владивосток;605049;77000;57190;57136;49263;64095;1;2020
180;6;6;5;3;1;4;6;6;3;4;5;5;6;6;5;1;3;5;1;1;1;6;6;5;6;5;4;1;NA;3;0;22;3;1;NA;NA;Запорожье;738728;60431;74925;58971;64479;29538;1;2020
181;6;3;3;1;1;3;6;1;1;1;1;3;1;1;1;1;1;3;1;1;1;6;6;3;6;6;3;0;0;1;0;34;5;1;NA;NA;Томск;575352;157572;75724;56130;39848;33630;1;2020
182;6;5;1;2;2;5;5;5;4;4;5;5;5;5;4;2;3;4;2;2;2;6;5;5;6;5;4;NA;1;2;1;20;2;1;NA;NA;Санкт-Петербург;5392992;940634;72857;288925;1831072;41482;1;2020
183;5;5;3;4;3;3;2;1;3;5;5;4;5;4;2;5;4;4;3;2;2;6;6;5;1;3;5;NA;1;2;1;16;1;0;NA;NA;Омск;1164815;92078;68393;68794;87254;107716;1;2020
184;1;1;1;5;2;2;2;1;2;2;1;1;3;2;2;5;5;6;3;1;2;2;1;3;3;4;3;0;0;1;1;23;4;1;NA;NA;Москва;12692466;43998;26163;29857;48639;72509;1;2020
185;3;3;1;3;2;1;4;4;1;4;5;6;4;4;1;6;6;6;3;3;1;6;6;6;5;5;2;NA;1;2;0;27;1;0;NA;NA;Хабаровск;617473;68708;85899;67028;66619;59904;1;2020
186;6;6;1;6;6;1;6;6;1;1;1;6;6;6;1;1;1;6;6;6;1;1;1;6;6;6;1;NA;1;2;1;17;1;0;NA;NA;Ставрополь;437367;62751;69141;70236;52866;92824;1;2020
187;6;5;1;4;3;3;5;5;2;3;2;6;5;5;4;2;2;4;5;3;3;3;4;2;5;2;2;1;NA;3;1;28;3;1;NA;NA;Томск;575352;228936;167111;69688;210423;18544;1;2020
188;6;5;4;4;4;3;6;6;5;1;4;6;6;5;4;1;1;3;6;3;3;1;4;4;4;5;2;NA;1;2;0;20;2;0;NA;NA;Москва;12692466;100182;74271;53239;69993;42753;1;2020
189;2;3;5;2;2;1;3;3;3;5;5;5;2;1;1;3;4;5;2;2;3;5;6;5;4;5;3;NA;1;2;1;18;1;0;NA;NA;Тюмень;788667;87671;64766;81470;57101;29110;1;2020
190;6;6;4;4;2;1;6;6;4;1;5;5;6;6;4;1;1;2;5;2;3;1;2;4;3;3;3;NA;1;2;1;18;1;0;NA;NA;Сергиев Посад;101967;127345;121566;94722;116149;74799;1;2020
191;4;2;2;2;1;1;3;1;1;1;1;2;4;3;2;2;1;1;3;2;1;3;1;1;3;3;3;0;0;1;1;21;3;1;NA;NA;Ростов-на-Дону;1133307;65485;108170;60618;67240;40791;1;2020
192;6;6;1;6;4;4;6;6;1;2;5;6;6;6;4;1;1;1;6;1;6;6;6;6;6;6;4;1;NA;3;0;19;1;0;NA;NA;Ростов-на-Дону;1133307;108169;145241;103589;174289;39511;1;2020
193;6;5;1;6;3;1;6;6;2;1;3;6;6;6;2;1;2;6;6;4;1;1;1;4;6;6;2;0;0;1;0;40;2;1;NA;NA;Ачинск;105259;40103;74211;49967;36596;25845;1;2020
194;4;4;2;4;3;3;6;5;3;5;5;5;4;4;3;1;1;3;5;5;4;5;4;4;2;3;4;NA;1;2;0;17;1;0;NA;NA;Омск;1164815;90286;48184;71439;64073;63525;1;2020
195;6;5;3;1;2;3;6;4;3;5;5;5;5;5;4;1;2;4;6;5;4;2;4;3;2;2;3;1;NA;3;1;27;2;1;NA;NA;Воронеж;1054111;93873;114958;217916;225956;54854;1;2020
196;6;6;1;6;4;1;5;2;1;6;6;6;6;6;2;1;1;6;1;1;1;6;6;4;6;6;3;0;0;1;0;33;5;1;NA;NA;Москва;12692466;32400;49078;37189;55583;28025;1;2020
197;6;5;3;6;6;5;6;6;3;2;5;6;6;4;2;1;2;3;6;5;4;6;6;5;4;4;3;0;0;1;1;19;1;0;NA;NA;Санкт-Петербург;5392992;53636;55579;61759;44055;39259;1;2020
198;6;6;3;1;1;3;6;5;2;2;5;6;6;6;1;1;1;6;3;1;1;4;1;5;4;6;1;1;NA;3;0;22;4;1;NA;NA;Челябинск;1195446;533008;431544;352872;1657424;39624;1;2020
199;4;4;4;2;3;3;5;5;1;4;5;6;6;4;2;1;2;5;4;1;2;5;6;4;5;4;3;NA;1;2;0;35;3;1;NA;NA;NA;NA;81923;103062;75200;67542;41599;1;2020
200;6;6;2;6;1;2;6;6;1;3;5;6;6;6;2;1;1;6;6;6;1;2;2;3;6;6;3;NA;1;2;1;14;1;0;NA;NA;Москва;12692466;225022;128218;126146;211650;61919;2;2020
201;5;2;2;1;1;5;5;5;2;5;5;5;3;3;2;3;3;6;5;2;2;5;5;5;5;5;4;1;NA;3;0;NA;1;0;0;0;Челябинск;1195446;28701;36211;46491;220560;11453;2;2020
202;5;3;1;1;1;3;6;3;2;5;6;6;5;4;3;1;2;5;2;1;1;5;5;6;5;5;2;1;NA;3;0;25;2;1;3;0;Челябинск;1195446;232409;113283;88570;509003;177150;2;2020
203;6;6;6;5;5;5;3;3;3;4;4;4;1;1;1;1;1;1;2;2;2;6;6;6;1;1;1;NA;1;2;0;42;3;1;3;1;Челябинск;1195446;36347;44998;163926;52259;27857;3;2020
204;5;5;4;2;2;3;2;2;3;5;5;4;5;5;4;5;5;4;2;2;3;5;5;4;5;5;4;0;0;1;0;63;2;0;3;1;Челябинск;1195446;99542;161481;83698;302428;27422;3;2020
205;6;6;5;1;1;2;6;5;4;1;1;2;6;6;5;1;1;2;6;6;4;6;6;5;6;6;5;NA;1;2;0;63;2;0;3;0;Челябинск;1195446;182417;166549;519119;150466;82570;3;2020
206;1;2;5;2;1;2;6;5;2;1;5;5;6;6;2;1;2;5;2;1;2;6;6;3;1;2;6;NA;1;2;0;34;5;1;3;1;Санкт-Петербург;5392992;121502;92635;172026;69846;99326;3;2020
207;5;2;1;4;1;1;5;2;1;2;6;5;5;5;2;1;1;2;5;2;2;5;5;5;2;2;2;0;0;1;0;36;3;1;3;1;Челябинск;1195446;66309;636329;51461;74949;49357;3;2020
208;6;4;1;6;3;1;6;5;1;2;5;6;6;6;1;1;1;6;1;1;1;5;6;2;6;6;1;NA;1;2;0;41;3;1;4;0;Челябинск;1195446;42696;52172;38435;92977;24252;3;2020
209;3;3;3;1;1;2;2;2;2;5;5;5;3;3;3;3;3;4;5;5;3;5;5;4;3;3;4;1;NA;3;0;62;2;0;2;0;Челябинск;1195446;119877;168382;380872;148723;123515;3;2020
210;5;4;1;2;1;5;5;5;2;3;3;6;5;5;2;1;1;5;2;2;1;6;6;3;5;5;1;NA;1;2;NA;34;5;1;4;1;Челябинск;1195446;89791;60248;108311;111246;55303;3;2020
211;6;5;3;5;2;2;6;6;1;5;4;1;5;5;1;2;3;5;5;4;2;3;3;4;6;6;1;1;NA;3;0;18;1;0;3;1;Челябинск;1195446;48544;73686;116059;72154;19784;3;2020
212;6;6;1;5;5;1;5;5;3;5;5;3;5;5;3;6;6;3;5;5;1;4;3;4;5;5;3;1;NA;3;0;19;1;0;1;0;Челябинск;1195446;14063;40066;27984;79441;28520;3;2020
213;6;5;1;6;6;4;6;2;1;5;6;6;2;2;2;4;6;6;1;1;1;3;3;1;6;6;3;NA;1;2;1;18;1;0;3;1;Челябинск;1195446;81745;64998;101292;109455;49872;3;2020
214;4;2;3;2;3;3;5;3;3;4;5;5;5;5;4;1;3;5;6;5;4;5;4;3;5;4;3;0;0;1;0;18;1;0;3;1;Челябинск;1195446;62956;103344;178448;97687;42104;3;2020
215;4;5;3;5;4;3;2;3;4;4;2;3;6;6;3;1;1;3;6;3;1;1;3;6;5;4;3;0;0;1;1;18;2;1;1;1;Челябинск;1195446;23984;71053;101888;122564;55936;3;2020
216;5;4;4;4;3;1;5;4;1;2;4;6;6;4;1;1;2;6;6;4;1;4;3;3;6;6;3;NA;1;2;0;33;2;1;3;0;Челябинск;1195446;272192;115588;86652;110396;48311;3;2020
217;6;1;1;3;3;3;1;1;1;6;6;6;1;1;1;6;6;6;1;1;1;6;6;1;6;6;6;0;0;1;1;23;2;1;3;1;Челябинск;1195446;80096;57096;89576;77376;25528;3;2020
218;5;4;2;2;1;4;5;4;3;2;3;5;5;5;3;2;3;3;6;5;2;3;3;4;5;5;4;1;NA;3;0;47;2;1;3;1;Челябинск;1195446;71170;63466;49816;75819;27259;3;2020
219;6;1;2;6;1;1;5;2;1;5;5;4;4;4;3;4;4;3;1;1;1;6;6;6;6;1;1;0;0;1;0;41;1;0;3;NA;Челябинск;1195446;66637;138662;881531;397191;36447;3;2020
